run_id,started_at,dataset_id,exit,golden_match,sweep_label,sweep_config,sweep_varied_seat,sweep_repeat,sweep_worker,instructions,seat,role,model,provider,temperature,num_ctx,think,max_tokens,calls,tokens_in,tokens_out,wall_ms,est_cost,tool_calls,replies,accepted_first_time,corrections,stopped_run,reasons,checks_met,checks_total,checks
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,3f2ebcc3,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,2,6376,304,11281,0.0,0,2,2,0,0,,0,1,reworked_once=0
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,5e798fab,intake,Intake Analyst,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,2,14933,1595,26481,0.0,17,1,1,0,0,,0,1,golden_match=0
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,38bf7459,estimator,Estimator,"qwen3.5 9b, local",ollama,model default,65536,False,model default,3,63360,1439,48836,0.0,6,1,1,0,0,,1,1,names_both_sheets=1
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,7b9005ab,pricing,Pricing,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,2,8175,1161,18355,0.0,1,1,1,0,0,,0,1,golden_match=0
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,00ebeb7e,writer,Writer,"qwen3.5 9b, local",ollama,model default,65536,False,model default,3,18601,1749,27625,0.0,2,1,1,0,0,,0,1,v1_carries_disagreement=0
009b46ae-e70e-4793-bb75-32b5b69c24d7,2026-09-19T18:04:33.369Z,planted-inconsistency,reviewer_pass,false,estimator-tools,baseline,,1,laptop,e50c1ac9,reviewer,Reviewer,"gemma4 12b, local",ollama,0.2,16384,False,model default,1,5575,44,8561,0.0,0,1,1,0,0,,0,1,failed_v1_to_work=0
0179f8b9-59ad-4bc4-ac0a-5c318157e798,2026-09-19T00:39:27.211Z,missing-sheet,reviewer_pass,false,missing-sheet-check,baseline,,0,laptop,3f2ebcc3,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,2,7746,324,12465,0.0,0,2,2,0,0,,0,1,blocker_escalated=0
0179f8b9-59ad-4bc4-ac0a-5c318157e798,2026-09-19T00:39:27.211Z,missing-sheet,reviewer_pass,false,missing-sheet-check,baseline,,0,laptop,5e798fab,intake,Intake Analyst,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,2,15414,2009,39319,0.0,17,1,1,0,0,,1,1,reached_work=1
0179f8b9-59ad-4bc4-ac0a-5c318157e798,2026-09-19T00:39:27.211Z,missing-sheet,reviewer_pass,false,missing-sheet-check,baseline,,0,laptop,fbb06c4a,estimator,Estimator,"qwen3.5 9b, local",ollama,model default,65536,False,model default,9,194519,3396,89643,0.0,7,1,0,1,0,invalid_json=1,0,1,blocker_names_lp2=0
0179f8b9-59ad-4bc4-ac0a-5c318157e798,2026-09-19T00:39:27.211Z,missing-sheet,reviewer_pass,false,missing-sheet-check,baseline,,0,laptop,7b9005ab,pricing,Pricing,"qwen3.5 9b, local",ollama,0.1,65536,False,model default,4,19306,3014,54712,0.0,2,2,2,0,0,,0,1,golden_match=0
